HUD frame time nsec:,5620000

Range Index,Elapsed Time, First Event,Last Event
0,9600,10,10
1,1248,74,74
2,11392,116,116
3,1216,117,117
4,1216,118,118
5,1216,119,119
6,1216,120,120
7,1216,121,121
8,1216,122,122
9,1216,123,123
10,1216,124,124
11,1216,125,125
12,1216,126,126
13,1216,127,127
14,1184,128,128
15,1216,129,129
16,1216,130,130
17,1216,131,131
18,1248,132,132
19,1216,133,133
20,1216,134,134
21,8192,176,176
22,1216,177,177
23,1216,178,178
24,1216,179,179
25,1216,180,180
26,1184,181,181
27,1216,182,182
28,1216,183,183
29,1216,184,184
30,1216,185,185
31,1216,186,186
32,1216,187,187
33,1248,188,188
34,1216,189,189
35,1216,190,190
36,1216,191,191
37,1344,192,192
38,1216,193,193
39,1216,194,194
40,7392,236,236
41,1216,237,237
42,1216,238,238
43,1216,239,239
44,1216,240,240
45,1184,241,241
46,1216,242,242
47,1216,243,243
48,1248,244,244
49,7360,286,286
50,1216,287,287
51,1216,288,288
52,1216,289,289
53,1216,290,290
54,1216,291,291
55,1216,292,292
56,1216,293,293
57,1184,294,294
58,7328,336,336
59,1216,337,337
60,1184,338,338
61,1216,339,339
62,1216,340,340
63,1216,341,341
64,1216,342,342
65,1216,343,343
66,1216,344,344
67,7360,386,386
68,1216,387,387
69,1248,388,388
70,1216,389,389
71,1216,390,390
72,1216,391,391
73,1216,392,392
74,1184,393,393
75,1216,394,394
76,5536,417,417
77,1216,418,418
78,1216,419,419
79,1216,420,420
80,1216,421,421
81,1248,422,422
82,1248,423,423
83,1216,424,424
84,1312,438,438
85,1216,439,439
86,1216,440,440
87,1216,441,441
88,1216,442,442
89,1216,443,443
90,1216,444,444
91,1216,445,445
92,1216,459,459
93,1216,460,460
94,1216,461,461
95,1248,462,462
96,1248,463,463
97,1216,464,464
98,1216,465,465
99,1216,466,466
100,1184,480,480
101,1248,481,481
102,1216,482,482
103,1216,483,483
104,1216,484,484
105,1216,485,485
106,1184,486,486
107,1216,487,487
108,1216,501,501
109,1216,502,502
110,1248,503,503
111,1216,504,504
112,1216,505,505
113,1216,506,506
114,1216,507,507
115,1216,508,508
116,1216,522,522
117,1216,523,523
118,1216,524,524
119,1216,525,525
120,1216,526,526
121,1216,527,527
122,1216,528,528
123,1216,529,529
124,600416,576,576
125,2976,612,612
126,1216,635,635
127,6240,666,666
128,4864,697,697
129,5024,728,728
130,4320,759,759
131,4960,790,790
132,5024,821,821
133,4864,852,852
134,5056,883,883
135,4896,914,914
136,5152,945,945
137,4896,976,976
138,4768,1007,1007
139,4864,1038,1038
140,4768,1069,1069
141,4992,1100,1100
142,4352,1131,1131
143,4896,1162,1162
144,5152,1193,1193
145,4864,1224,1224
146,4960,1255,1255
147,4960,1286,1286
148,4832,1317,1317
149,5056,1348,1348
150,4960,1379,1379
151,5120,1410,1410
152,4896,1441,1441
153,4896,1472,1472
154,4928,1503,1503
155,4704,1534,1534
156,4992,1565,1565
157,4928,1596,1596
158,4896,1627,1627
159,1216,1650,1650
160,5248,1681,1681
161,1216,1712,1712
162,4960,1743,1743
163,4576,1766,1766
164,1216,1797,1797
165,5344,1828,1828
166,4320,1837,1837
167,40576,1865,1865
168,8403584,1879,1879
